pred        sex  grp  TR
CG.TR0      0    -1   0
CG.TR0.25   0    -1   0.25
CG.TR0.5    0    -1   0.5
CG.TR0.75   0    -1   0.75
CG.TR1      0    -1   1
CG.TR1.25   0    -1   1.25
CG.TR1.5    0    -1   1.5
CG.TR1.75   0    -1   1.75
CG.TR2      0    -1   2
CG.TR2.25   0    -1   2.25
CG.TR2.5    0    -1   2.5
CG.TR2.75   0    -1   2.75
CG.TR3      0    -1   3
CG.TR3.25   0    -1   3.25
CG.TR3.5    0    -1   3.5
CG.TR3.75   0    -1   3.75
CG.TR4      0    -1   4
CG.TR4.25   0    -1   4.25
CG.TR4.5    0    -1   4.5
CG.TR4.75   0    -1   4.75
CG.TR5      0    -1   5
CG.TR5.25   0    -1   5.25
CG.TR5.5    0    -1   5.5
CG.TR5.75   0    -1   5.75
CG.TR6      0    -1   6
CG.TR6.25   0    -1   6.25
CG.TR6.5    0    -1   6.5
CG.TR6.75   0    -1   6.75
CG.TR7      0    -1   7
CG.TR7.25   0    -1   7.25
CG.TR7.5    0    -1   7.5
CG.TR7.75   0    -1   7.75
CG.TR8      0    -1   8
CG.TR8.25   0    -1   8.25
CG.TR8.5    0    -1   8.5
CG.TR8.75   0    -1   8.75
CG.TR9      0    -1   9
CG.TR9.25   0    -1   9.25
CG.TR9.5    0    -1   9.5
CG.TR9.75   0    -1   9.75
CG.TR10     0    -1   10
CG.TR10.25  0    -1   10.25
CG.TR10.5   0    -1   10.5
CG.TR10.75  0    -1   10.75
CG.TR11     0    -1   11
PG.TR0      0    1    0
PG.TR0.25   0    1    0.25
PG.TR0.5    0    1    0.5
PG.TR0.75   0    1    0.75
PG.TR1      0    1    1
PG.TR1.25   0    1    1.25
PG.TR1.5    0    1    1.5
PG.TR1.75   0    1    1.75
PG.TR2      0    1    2
PG.TR2.25   0    1    2.25
PG.TR2.5    0    1    2.5
PG.TR2.75   0    1    2.75
PG.TR3      0    1    3
PG.TR3.25   0    1    3.25
PG.TR3.5    0    1    3.5
PG.TR3.75   0    1    3.75
PG.TR4      0    1    4
PG.TR4.25   0    1    4.25
PG.TR4.5    0    1    4.5
PG.TR4.75   0    1    4.75
PG.TR5      0    1    5
PG.TR5.25   0    1    5.25
PG.TR5.5    0    1    5.5
PG.TR5.75   0    1    5.75
PG.TR6      0    1    6
PG.TR6.25   0    1    6.25
PG.TR6.5    0    1    6.5
PG.TR6.75   0    1    6.75
PG.TR7      0    1    7
PG.TR7.25   0    1    7.25
PG.TR7.5    0    1    7.5
PG.TR7.75   0    1    7.75
PG.TR8      0    1    8
PG.TR8.25   0    1    8.25
PG.TR8.5    0    1    8.5
PG.TR8.75   0    1    8.75
PG.TR9      0    1    9
PG.TR9.25   0    1    9.25
PG.TR9.5    0    1    9.5
PG.TR9.75   0    1    9.75
PG.TR10     0    1    10
PG.TR10.25  0    1    10.25
PG.TR10.5   0    1    10.5
PG.TR10.75  0    1    10.75
PG.TR11     0    1    11
