Subj layer Z
S1 1 0.00511335
S1 2 0.00875758
S1 3 0.0140701
S1 4 0.0164869
S1 5 0.0179385
S1 6 0.0142188
S1 7 0.0148081
S1 8 0.0178416
S1 9 0.0143613
S1 10 0.0116527
S1 11 0.0088145
S2 1 -0.00405726
S2 2 -0.00454714
S2 3 5.68052e-05
S2 4 0.00040345
S2 5 -0.00266741
S2 6 -0.00192206
S2 7 -0.00389762
S2 8 -0.00685459
S2 9 -0.00706325
S2 10 -0.00657796
S2 11 -0.00284057
S3 1 0.0130449
S3 2 0.0178668
S3 3 0.0233062
S3 4 0.0232941
S3 5 0.0228246
S3 6 0.0225642
S3 7 0.0276557
S3 8 0.0275585
S3 9 0.0259742
S3 10 0.0227496
S3 11 0.0144107
S4 1 0.0107474
S4 2 0.0146611
S4 3 0.0168227
S4 4 0.0166435
S4 5 0.0170934
S4 6 0.0159768
S4 7 0.0166196
S4 8 0.0222819
S4 9 0.0204198
S4 10 0.0208404
S4 11 0.0183211
S5 1 0.00473445
S5 2 0.0139984
S5 3 0.0189781
S5 4 0.0194041
S5 5 0.0202166
S5 6 0.0234529
S5 7 0.0264696
S5 8 0.0239089
S5 9 0.0194498
S5 10 0.0108374
S5 11 0.00766123
S6 1 0.0188295
S6 2 0.0389354
S6 3 0.0446654
S6 4 0.0543881
S6 5 0.0591723
S6 6 0.0643688
S6 7 0.0715823
S6 8 0.0742297
S6 9 0.0740838
S6 10 0.0647417
S6 11 0.0434637
S7 1 -0.00708183
S7 2 -0.0122834
S7 3 -0.0130784
S7 4 -0.0165783
S7 5 -0.0211422
S7 6 -0.0195952
S7 7 -0.0236046
S7 8 -0.0220424
S7 9 -0.0201992
S7 10 -0.0160366
S7 11 -0.00715754
S8 1 0.00899137
S8 2 0.00468486
S8 3 0.00473183
S8 4 0.00341052
S8 5 0.00240942
S8 6 -0.000570271
S8 7 -0.000144799
S8 8 0.00267122
S8 9 0.0062901
S8 10 0.00869453
S8 11 0.00621853
S9 1 0.015088
S9 2 0.00822384
S9 3 0.00954243
S9 4 0.00567932
S9 5 0.00769092
S9 6 0.00668959
S9 7 0.00597614
S9 8 0.00655998
S9 9 0.00681064
S9 10 0.0101203
S9 11 0.00574748
S10 1 0.00908517
S10 2 0.0116746
S10 3 0.0106273
S10 4 0.0122319
S10 5 0.00958665
S10 6 0.00868253
S10 7 0.00640475
S10 8 -0.00158972
S10 9 -0.00265434
S10 10 0.000807565
S10 11 0.00243723
S11 1 -0.00257693
S11 2 0.00069637
S11 3 -0.00423161
S11 4 -0.00808912
S11 5 -0.0101035
S11 6 -0.0106804
S11 7 -0.00942909
S11 8 -0.00708145
S11 9 -0.00286721
S11 10 -0.00108978
S11 11 0.00583837
S12 1 0.00295114
S12 2 0.0125796
S12 3 0.0161492
S12 4 0.0179953
S12 5 0.0202612
S12 6 0.0229685
S12 7 0.0247402
S12 8 0.0230145
S12 9 0.018924
S12 10 0.0194649
S12 11 0.0137608
S13 1 0.0271195
S13 2 0.0355671
S13 3 0.0369878
S13 4 0.0398041
S13 5 0.0464932
S13 6 0.0450518
S13 7 0.0465437
S13 8 0.0430479
S13 9 0.0425402
S13 10 0.0389928
S13 11 0.0311667
S14 1 0.0168435
S14 2 0.0297864
S14 3 0.0377967
S14 4 0.0509394
S14 5 0.0540375
S14 6 0.058635
S14 7 0.0638142
S14 8 0.0589302
S14 9 0.0543905
S14 10 0.0488191
S14 11 0.0326408
S15 1 0.0102335
S15 2 0.0179315
S15 3 0.0176112
S15 4 0.0204357
S15 5 0.0221382
S15 6 0.030776
S15 7 0.037895
S15 8 0.0377795
S15 9 0.0347158
S15 10 0.0346704
S15 11 0.0352598
S16 1 0.00051689
S16 2 0.000525576
S16 3 0.00382018
S16 4 0.00589215
S16 5 0.00765361
S16 6 0.00891525
S16 7 0.0130103
S16 8 0.0101566
S16 9 0.0104217
S16 10 0.0138015
S16 11 0.0160122
