Subj ROI1 ROI2 Y
SBJ01 L_Bank_STS L_Amygdala 0.041359026722
SBJ02 L_Bank_STS L_Amygdala 0.124562076672
SBJ03 L_Bank_STS L_Amygdala -0.04161663347
SBJ04 L_Bank_STS L_Amygdala 0.247948812173
SBJ05 L_Bank_STS L_Amygdala 0.165116573336
SBJ06 L_Bank_STS L_Amygdala -0.476216745252
SBJ07 L_Bank_STS L_Amygdala 0.166331024841
SBJ09 L_Bank_STS L_Amygdala -0.11084609822
SBJ10 L_Bank_STS L_Amygdala 0.216776487126
SBJ11 L_Bank_STS L_Amygdala 0.041775026096
SBJ12 L_Bank_STS L_Amygdala 0.116056124094
SBJ13 L_Bank_STS L_Amygdala 0.33185841192
SBJ14 L_Bank_STS L_Amygdala -0.034651671116
SBJ15 L_Bank_STS L_Amygdala 0.380187225456
SBJ16 L_Bank_STS L_Amygdala 0.251148746149
SBJ17 L_Bank_STS L_Amygdala 0.083826063817
SBJ01 R_Amygdala L_Amygdala 0.120030823284
SBJ02 R_Amygdala L_Amygdala -0.0811914890030001
SBJ03 R_Amygdala L_Amygdala -0.040587951317
SBJ04 R_Amygdala L_Amygdala 0.044913102971
SBJ05 R_Amygdala L_Amygdala 0.345658344436
SBJ06 R_Amygdala L_Amygdala 0.396731928106
SBJ07 R_Amygdala L_Amygdala 0.281540560061
SBJ09 R_Amygdala L_Amygdala 0.622084148826
SBJ10 R_Amygdala L_Amygdala 0.176240605139
SBJ11 R_Amygdala L_Amygdala 0.287099751556
SBJ12 R_Amygdala L_Amygdala 0.00496943942100003
SBJ13 R_Amygdala L_Amygdala 0.051619983949
SBJ14 R_Amygdala L_Amygdala -0.044026202826
SBJ15 R_Amygdala L_Amygdala 0.258535013017
SBJ16 R_Amygdala L_Amygdala -0.00223600535000001
SBJ17 R_Amygdala L_Amygdala 0.405841669498
SBJ01 rpSTS_gray9 L_Amygdala -0.00267469827299999
SBJ02 rpSTS_gray9 L_Amygdala -0.124972443748
SBJ03 rpSTS_gray9 L_Amygdala 0.093333583817
SBJ04 rpSTS_gray9 L_Amygdala 0.220029129388
SBJ05 rpSTS_gray9 L_Amygdala 0.046736211968
SBJ06 rpSTS_gray9 L_Amygdala -0.00728455374299999
SBJ07 rpSTS_gray9 L_Amygdala -0.036495194539
SBJ09 rpSTS_gray9 L_Amygdala 0.034451505314
SBJ10 rpSTS_gray9 L_Amygdala 0.231922123138
SBJ11 rpSTS_gray9 L_Amygdala 0.305949965689
SBJ12 rpSTS_gray9 L_Amygdala 0.167483939608
SBJ13 rpSTS_gray9 L_Amygdala 0.350980988687
SBJ14 rpSTS_gray9 L_Amygdala -0.088119110893
SBJ15 rpSTS_gray9 L_Amygdala 0.385165974312
SBJ16 rpSTS_gray9 L_Amygdala 0.3160845202
SBJ17 rpSTS_gray9 L_Amygdala 0.252795021096
SBJ01 rpSTS_gray9 L_Bank_STS 0.417910023754
SBJ02 rpSTS_gray9 L_Bank_STS -0.065505918333
SBJ03 rpSTS_gray9 L_Bank_STS 0.192253538162
SBJ04 rpSTS_gray9 L_Bank_STS 0.00258989391199999
SBJ05 rpSTS_gray9 L_Bank_STS -0.297623896926
SBJ06 rpSTS_gray9 L_Bank_STS -0.36907261282
SBJ07 rpSTS_gray9 L_Bank_STS 0.113782357244
SBJ09 rpSTS_gray9 L_Bank_STS 0.791895387903
SBJ10 rpSTS_gray9 L_Bank_STS -0.0774164040259999
SBJ11 rpSTS_gray9 L_Bank_STS 0.132509286958
SBJ12 rpSTS_gray9 L_Bank_STS -0.159646302952
SBJ13 rpSTS_gray9 L_Bank_STS 0.238711129459
SBJ14 rpSTS_gray9 L_Bank_STS -0.383075606211
SBJ15 rpSTS_gray9 L_Bank_STS 0.018045794455
SBJ16 rpSTS_gray9 L_Bank_STS 0.061417153034
SBJ17 rpSTS_gray9 L_Bank_STS -0.00882817864000007
SBJ01 L_Amygdala L_Fusiform 0.053620793335
SBJ02 L_Amygdala L_Fusiform 0.242211403632
SBJ03 L_Amygdala L_Fusiform 0.013724883202
SBJ04 L_Amygdala L_Fusiform -0.073526602453
SBJ05 L_Amygdala L_Fusiform 0.189243724649
SBJ06 L_Amygdala L_Fusiform -0.063906575655
SBJ07 L_Amygdala L_Fusiform 0.082872686127
SBJ09 L_Amygdala L_Fusiform 0.133420071515
SBJ10 L_Amygdala L_Fusiform 0.302798787212
SBJ11 L_Amygdala L_Fusiform 0.093448473971
SBJ12 L_Amygdala L_Fusiform 0.091921219149
SBJ13 L_Amygdala L_Fusiform 0.24827636699
SBJ14 L_Amygdala L_Fusiform 0.131397710188
SBJ15 L_Amygdala L_Fusiform 0.125689669352
SBJ16 L_Amygdala L_Fusiform -0.404216991473
SBJ17 L_Amygdala L_Fusiform 0.034952777866
SBJ01 L_Bank_STS L_Fusiform 0.109930671795
SBJ02 L_Bank_STS L_Fusiform 0.132866371639
SBJ03 L_Bank_STS L_Fusiform 0.01300259622
SBJ04 L_Bank_STS L_Fusiform 0.187373243724
SBJ05 L_Bank_STS L_Fusiform -0.060225666484
SBJ06 L_Bank_STS L_Fusiform -0.21962479782
SBJ07 L_Bank_STS L_Fusiform -0.10499420343
SBJ09 L_Bank_STS L_Fusiform 0.583148669971
SBJ10 L_Bank_STS L_Fusiform 0.080041303203
SBJ11 L_Bank_STS L_Fusiform 0.470262393199
SBJ12 L_Bank_STS L_Fusiform -0.0459682995380001
SBJ13 L_Bank_STS L_Fusiform 0.136112067671
SBJ14 L_Bank_STS L_Fusiform 0.174893252635
SBJ15 L_Bank_STS L_Fusiform 0.085914931705
SBJ16 L_Bank_STS L_Fusiform -0.478247001501
SBJ17 L_Bank_STS L_Fusiform -0.023478207663
SBJ01 R_Amygdala L_Fusiform -0.021991907363
SBJ02 R_Amygdala L_Fusiform 0.157720444345
SBJ03 R_Amygdala L_Fusiform 0.00886003395100005
SBJ04 R_Amygdala L_Fusiform 0.058196770864
SBJ05 R_Amygdala L_Fusiform 0.360097168321
SBJ06 R_Amygdala L_Fusiform 0.061828160675
SBJ07 R_Amygdala L_Fusiform 0.134700146753
SBJ09 R_Amygdala L_Fusiform 0.333834383474
SBJ10 R_Amygdala L_Fusiform 0.293144119758
SBJ11 R_Amygdala L_Fusiform 0.00354386700799997
SBJ12 R_Amygdala L_Fusiform 0.157410894323
SBJ13 R_Amygdala L_Fusiform 0.11047841347
SBJ14 R_Amygdala L_Fusiform 0.209962627841
SBJ15 R_Amygdala L_Fusiform 0.052651513195
SBJ16 R_Amygdala L_Fusiform -0.09541435611
SBJ17 R_Amygdala L_Fusiform 0.143686168492
SBJ01 R_Fusiform L_Fusiform 0.437467163259
SBJ02 R_Fusiform L_Fusiform -0.310435979595
SBJ03 R_Fusiform L_Fusiform -0.372415293266
SBJ04 R_Fusiform L_Fusiform 0.162368075309
SBJ05 R_Fusiform L_Fusiform 0.128805675194
SBJ06 R_Fusiform L_Fusiform 0.12107847035
SBJ07 R_Fusiform L_Fusiform -0.00209173027499998
SBJ09 R_Fusiform L_Fusiform 0.57793182967
SBJ10 R_Fusiform L_Fusiform 0.245772915869
SBJ11 R_Fusiform L_Fusiform 0.37200500906
SBJ12 R_Fusiform L_Fusiform 0.111575666064
SBJ13 R_Fusiform L_Fusiform 0.151015628272
SBJ14 R_Fusiform L_Fusiform 0.490497200159
SBJ15 R_Fusiform L_Fusiform 0.070843682292
SBJ16 R_Fusiform L_Fusiform -0.226442519164
SBJ17 R_Fusiform L_Fusiform 0.218176420645
SBJ01 rpSTS_gray9 L_Fusiform 0.314657670916
SBJ02 rpSTS_gray9 L_Fusiform 0.23668602901
SBJ03 rpSTS_gray9 L_Fusiform -0.031815640045
SBJ04 rpSTS_gray9 L_Fusiform 0.174897374685
SBJ05 rpSTS_gray9 L_Fusiform 0.083597976327
SBJ06 rpSTS_gray9 L_Fusiform -0.142394680283
SBJ07 rpSTS_gray9 L_Fusiform 0.086929394537
